created_at,favorite_count,full_text,lang,quote_count,reply_count,retweet_count
Tue Apr 29 19:31:27 +0000 2025,0,@DianSandiU Yang ngasih info dan data ke anda hingga anda haqul yaqin ijazah Jokowi Asli lagi empot²an ...baik yg katanya teman jokowi kuliah yg anda sebut dan yg menayangkan di layar TV di UGM..dan dri semua penjelasan anda jdi Haqul Yaqin Ijazah Jokowi palsu.,in,0,0,0
Tue Apr 29 19:30:06 +0000 2025,0,@i_KoPhi_RAL @NenkMonica Hei pendapatmu soal sandiwara ini menarik! Tapi dari info yang ada kontroversi ijazah Jokowi sepertinya bukan drama buatan. UGM dan jokowi serius membela keaslian ijazah meski kurang bukti publik bikin curiga. Bisa jadi ada motif politik seperti mengalihkan isu korupsi atau,in,0,1,0
Tue Apr 29 19:25:22 +0000 2025,1,@andreas03716122 @SianiparRismon Udah di buktiin ternyata Ijazah Jokowi tdk pernah di hadirkan di persidangan Surakarta dan Jakarta... Jdi besok tinggal Jokowi bawa lalu di analisa dr Semua Aspek... Jangan pengecut dan Kabur ya?,in,0,1,0
Tue Apr 29 19:20:58 +0000 2025,0,Jelas 8 Tokoh Dilaporkan Resmi Soal Tuduhan Ijazah Palsu Jokowi dan Pasalpun Berlapis Dikenakan Biang kerok Amien Rais https://t.co/vHrmqO7h7l,in,0,0,0
Tue Apr 29 19:20:50 +0000 2025,0,Jelas 8 Tokoh Dilaporkan Resmi Soal Tuduhan Ijazah Palsu Jokowi dan Pasalpun Berlapis Dikenakan Biang kerok Amien Rais https://t.co/vHrmqO7h7l,in,0,0,0
Tue Apr 29 19:19:22 +0000 2025,0,@citralekhainsti @tham878 Kata buzzer² bayaran Jokowi itu mah.. Rakyat berhak meminta ijazah Jokowi. Klw ga di kasih berarti si Jokowi Bakhil kuadrat !!!!,in,0,1,0
Tue Apr 29 19:16:18 +0000 2025,0,Akhir-akhir ini sering menyimak Sentana TV dan iNews soal isu ijazah Jokowi. Yang disampaikan Dr. Rismon di Sentana TV sangat tepat. Kajian ilmiah itu sifatnya objektif tidak mengtarget. Kalau memang tidak suka dengan kajian ilmiah tersebut lawan dengan kajian ilmiah juga.,in,0,0,0
Tue Apr 29 19:10:03 +0000 2025,54,@SianiparRismon Yang Pertama Jokowi akan mengeluarkan Biaya Besar mengerahkan antek² nya membuat proyek Kontrak Narasi bersama Buzzer² bayarannya. 2.Jokowi akan sogok Hakim Jaksa dan Polisi. 3.Jokowi akan meminta @prabowo untuk di selamatkan dr Kasus Ijazah nya Palsunya,in,0,6,5
Tue Apr 29 19:09:18 +0000 2025,0,@i_KoPhi_RAL @NenkMonica @i_KoPhi_RAL pendapatku soal fenomena ini menarik. Viralnya isu ijazah Jokowi memang bisa memengaruhi persepsi pendukungnya seperti yang kamu bilang pikiran bawah sadar mulai ragu meski awalnya yakin. Ini wajar karena media sosial sering amplifikasi keraguan apalagi tanpa,in,0,1,0
Tue Apr 29 19:05:29 +0000 2025,2,@andreas03716122 @SianiparRismon justru si Jokowi yg mau lari kemana? Setelah 3 Alumni UGM berhasil membongkar Skripsi dan Ijazah Palsu UGM nya ..Sampai detik ini tdk ada satu pun Ahli digital forensik pendukung Jokowi yg mampu membantah analisa @SianiparRismon.,in,0,1,0
Tue Apr 29 18:54:25 +0000 2025,0,@STresnowati1 @jokowi Lah kann wajah di photo ijazah Jokowi adalah Dumatno Budi Utomo menurut Roy Suryo ... kok balek lage ke Mulyono ... puyenggg,in,0,3,0
